FILE_NAME,NUM_JOBS,NUM_MACHINES,ITERATION_SIZE,POPULATION_SIZE,ITERATION,MAKESPAN
A.u_i_hilo,1024,32,250,10,1,29588776.68000002
A.u_i_hilo,1024,32,250,10,2,[24918739.019999992]
A.u_i_hilo,1024,32,250,10,3,[23732132.399999995]
A.u_i_hilo,1024,32,250,10,4,[21358919.16]
A.u_i_hilo,1024,32,250,10,5,[22953410.75]
A.u_i_hilo,1024,32,250,10,6,[22034195.400000002]
A.u_i_hilo,1024,32,250,10,7,[20284409.5]
A.u_i_hilo,1024,32,250,10,8,[20172312.540000003]
A.u_i_hilo,1024,32,250,10,9,[19579009.230000004]
A.u_i_hilo,1024,32,250,10,10,[22210906.959999993]
A.u_i_hilo,1024,32,250,10,11,[20661308.799999997]
A.u_i_hilo,1024,32,250,10,12,[19216809.0]
A.u_i_hilo,1024,32,250,10,13,[18595177.92]
A.u_i_hilo,1024,32,250,10,14,[18886453.199999996]
A.u_i_hilo,1024,32,250,10,15,[18078645.200000003]
A.u_i_hilo,1024,32,250,10,16,[17615408.25]
A.u_i_hilo,1024,32,250,10,17,[17205795.99000001]
A.u_i_hilo,1024,32,250,10,18,[17045579.760000005]
A.u_i_hilo,1024,32,250,10,19,[17562112.480000004]
A.u_i_hilo,1024,32,250,10,20,[16612492.68000001]
A.u_i_hilo,1024,32,250,10,21,[17045579.760000005]
A.u_i_hilo,1024,32,250,10,22,[17627356.319999993]
A.u_i_hilo,1024,32,250,10,23,[18149208.5]
A.u_i_hilo,1024,32,250,10,24,[16368259.43999999]
A.u_i_hilo,1024,32,250,10,25,[17205795.99000001]
A.u_i_hilo,1024,32,250,10,26,[15738710.99999999]
A.u_i_hilo,1024,32,250,10,27,[15480207.25]
A.u_i_hilo,1024,32,250,10,28,[15425886.06000001]
A.u_i_hilo,1024,32,250,10,29,[15425886.06000001]
A.u_i_hilo,1024,32,250,10,30,[16019189.37000001]
A.u_i_hilo,1024,32,250,10,31,[15425886.06000001]
A.u_i_hilo,1024,32,250,10,32,[16019189.37000001]
A.u_i_hilo,1024,32,250,10,33,[14832582.75000001]
A.u_i_hilo,1024,32,250,10,34,[14832582.75000001]
A.u_i_hilo,1024,32,250,10,35,[15109162.559999991]
A.u_i_hilo,1024,32,250,10,36,[14832582.75000001]
A.u_i_hilo,1024,32,250,10,37,[14832582.75000001]
A.u_i_hilo,1024,32,250,10,38,[14832582.75000001]
A.u_i_hilo,1024,32,250,10,39,[14239279.440000009]
A.u_i_hilo,1024,32,250,10,40,[14832582.75000001]
A.u_i_hilo,1024,32,250,10,41,[14479614.119999992]
A.u_i_hilo,1024,32,250,10,42,[14462916.160000004]
A.u_i_hilo,1024,32,250,10,43,[14462916.160000004]
A.u_i_hilo,1024,32,250,10,44,[14239279.440000009]
A.u_i_hilo,1024,32,250,10,45,[14479614.119999992]
A.u_i_hilo,1024,32,250,10,46,[14462916.160000004]
A.u_i_hilo,1024,32,250,10,47,[13850065.679999992]
A.u_i_hilo,1024,32,250,10,48,[14413271.040000005]
A.u_i_hilo,1024,32,250,10,49,[13946383.440000003]
A.u_i_hilo,1024,32,250,10,50,[13645976.130000008]
A.u_i_hilo,1024,32,250,10,51,[13850065.679999992]
A.u_i_hilo,1024,32,250,10,52,[13512441.600000003]
A.u_i_hilo,1024,32,250,10,53,[13512441.600000003]
A.u_i_hilo,1024,32,250,10,54,[13220517.239999993]
A.u_i_hilo,1024,32,250,10,55,[13429850.720000003]
A.u_i_hilo,1024,32,250,10,56,[13220517.239999993]
A.u_i_hilo,1024,32,250,10,57,[13062026.880000003]
A.u_i_hilo,1024,32,250,10,58,[13052672.820000008]
A.u_i_hilo,1024,32,250,10,59,[13052672.820000008]
A.u_i_hilo,1024,32,250,10,60,[13052672.820000008]
A.u_i_hilo,1024,32,250,10,61,[13052672.820000008]
A.u_i_hilo,1024,32,250,10,62,[13052672.820000008]
A.u_i_hilo,1024,32,250,10,63,[13052672.820000008]
A.u_i_hilo,1024,32,250,10,64,[13062026.880000003]
A.u_i_hilo,1024,32,250,10,65,[13052672.820000008]
A.u_i_hilo,1024,32,250,10,66,[13052672.820000008]
A.u_i_hilo,1024,32,250,10,67,[13052672.820000008]
A.u_i_hilo,1024,32,250,10,68,[13052672.820000008]
A.u_i_hilo,1024,32,250,10,69,[13052672.820000008]
A.u_i_hilo,1024,32,250,10,70,[13345006.25]
A.u_i_hilo,1024,32,250,10,71,[13052672.820000008]
A.u_i_hilo,1024,32,250,10,72,[13052672.820000008]
A.u_i_hilo,1024,32,250,10,73,[13052672.820000008]
A.u_i_hilo,1024,32,250,10,74,[13052672.820000008]
A.u_i_hilo,1024,32,250,10,75,[13052672.820000008]
A.u_i_hilo,1024,32,250,10,76,[13052672.820000008]
A.u_i_hilo,1024,32,250,10,77,[13052672.820000008]
A.u_i_hilo,1024,32,250,10,78,[13052672.820000008]
A.u_i_hilo,1024,32,250,10,79,[13062026.880000003]
A.u_i_hilo,1024,32,250,10,80,[13052672.820000008]
A.u_i_hilo,1024,32,250,10,81,[13052672.820000008]
A.u_i_hilo,1024,32,250,10,82,[13062026.880000003]
A.u_i_hilo,1024,32,250,10,83,[13052672.820000008]
A.u_i_hilo,1024,32,250,10,84,[13062026.880000003]
A.u_i_hilo,1024,32,250,10,85,[13062026.880000003]
