FILE_NAME,NUM_JOBS,NUM_MACHINES,ITERATION_SIZE,POPULATION_SIZE,ITERATION,MAKESPAN
A.u_i_hihi,1024,32,500,5,1,293060820.0
A.u_i_hihi,1024,32,500,5,2,[263221854.0]
A.u_i_hihi,1024,32,500,5,3,[234448656.0]
A.u_i_hihi,1024,32,500,5,4,[263754738.0]
A.u_i_hihi,1024,32,500,5,5,[256428217.5]
A.u_i_hihi,1024,32,500,5,6,[227862936.0]
A.u_i_hihi,1024,32,500,5,7,[234448656.0]
A.u_i_hihi,1024,32,500,5,8,[227122135.5]
A.u_i_hihi,1024,32,500,5,9,[219795615.0]
A.u_i_hihi,1024,32,500,5,10,[227862936.0]
A.u_i_hihi,1024,32,500,5,11,[263754738.0]
A.u_i_hihi,1024,32,500,5,12,[212469094.5]
A.u_i_hihi,1024,32,500,5,13,[227862936.0]
A.u_i_hihi,1024,32,500,5,14,[212469094.5]
A.u_i_hihi,1024,32,500,5,15,[234448656.0]
A.u_i_hihi,1024,32,500,5,16,[229431020.0]
A.u_i_hihi,1024,32,500,5,17,[216320676.0]
A.u_i_hihi,1024,32,500,5,18,[234448656.0]
A.u_i_hihi,1024,32,500,5,19,[219795615.0]
A.u_i_hihi,1024,32,500,5,20,[227122135.5]
A.u_i_hihi,1024,32,500,5,21,[209765504.0]
A.u_i_hihi,1024,32,500,5,22,[212469094.5]
A.u_i_hihi,1024,32,500,5,23,[209765504.0]
A.u_i_hihi,1024,32,500,5,24,[234448656.0]
A.u_i_hihi,1024,32,500,5,25,[212469094.5]
A.u_i_hihi,1024,32,500,5,26,[205142574.0]
A.u_i_hihi,1024,32,500,5,27,[205142574.0]
A.u_i_hihi,1024,32,500,5,28,[203210332.0]
A.u_i_hihi,1024,32,500,5,29,[197816053.5]
A.u_i_hihi,1024,32,500,5,30,[196655160.0]
A.u_i_hihi,1024,32,500,5,31,[196655160.0]
A.u_i_hihi,1024,32,500,5,32,[196655160.0]
A.u_i_hihi,1024,32,500,5,33,[190489533.0]
A.u_i_hihi,1024,32,500,5,34,[184383062.5]
A.u_i_hihi,1024,32,500,5,35,[183556254.0]
A.u_i_hihi,1024,32,500,5,36,[196215306.0]
A.u_i_hihi,1024,32,500,5,37,[183556254.0]
A.u_i_hihi,1024,32,500,5,38,[183544816.0]
A.u_i_hihi,1024,32,500,5,39,[183544816.0]
A.u_i_hihi,1024,32,500,5,40,[189885780.0]
A.u_i_hihi,1024,32,500,5,41,[183544816.0]
A.u_i_hihi,1024,32,500,5,42,[183163012.5]
A.u_i_hihi,1024,32,500,5,43,[183163012.5]
A.u_i_hihi,1024,32,500,5,44,[183163012.5]
A.u_i_hihi,1024,32,500,5,45,[183163012.5]
A.u_i_hihi,1024,32,500,5,46,[183163012.5]
A.u_i_hihi,1024,32,500,5,47,[183163012.5]
A.u_i_hihi,1024,32,500,5,48,[177226728.0]
A.u_i_hihi,1024,32,500,5,49,[177226728.0]
A.u_i_hihi,1024,32,500,5,50,[177007740.0]
A.u_i_hihi,1024,32,500,5,51,[177007740.0]
A.u_i_hihi,1024,32,500,5,52,[173320078.75]
A.u_i_hihi,1024,32,500,5,53,[173320078.75]
A.u_i_hihi,1024,32,500,5,54,[173320078.75]
A.u_i_hihi,1024,32,500,5,55,[175836492.0]
A.u_i_hihi,1024,32,500,5,56,[173320078.75]
A.u_i_hihi,1024,32,500,5,57,[177226728.0]
A.u_i_hihi,1024,32,500,5,58,[175836492.0]
A.u_i_hihi,1024,32,500,5,59,[170897202.0]
A.u_i_hihi,1024,32,500,5,60,[170897202.0]
A.u_i_hihi,1024,32,500,5,61,[170897202.0]
A.u_i_hihi,1024,32,500,5,62,[170897202.0]
A.u_i_hihi,1024,32,500,5,63,[170897202.0]
A.u_i_hihi,1024,32,500,5,64,[170897202.0]
A.u_i_hihi,1024,32,500,5,65,[170897202.0]
A.u_i_hihi,1024,32,500,5,66,[169632417.5]
A.u_i_hihi,1024,32,500,5,67,[169632417.5]
A.u_i_hihi,1024,32,500,5,68,[169632417.5]
A.u_i_hihi,1024,32,500,5,69,[169632417.5]
A.u_i_hihi,1024,32,500,5,70,[169632417.5]
A.u_i_hihi,1024,32,500,5,71,[169632417.5]
A.u_i_hihi,1024,32,500,5,72,[169632417.5]
A.u_i_hihi,1024,32,500,5,73,[169632417.5]
A.u_i_hihi,1024,32,500,5,74,[169632417.5]
A.u_i_hihi,1024,32,500,5,75,[168509971.5]
A.u_i_hihi,1024,32,500,5,76,[168509971.5]
A.u_i_hihi,1024,32,500,5,77,[168509971.5]
A.u_i_hihi,1024,32,500,5,78,[168509971.5]
A.u_i_hihi,1024,32,500,5,79,[165944756.25]
A.u_i_hihi,1024,32,500,5,80,[165944756.25]
A.u_i_hihi,1024,32,500,5,81,[165944756.25]
A.u_i_hihi,1024,32,500,5,82,[165944756.25]
A.u_i_hihi,1024,32,500,5,83,[165944756.25]
