FILE_NAME,NUM_JOBS,NUM_MACHINES,ITERATION_SIZE,POPULATION_SIZE,ITERATION,MAKESPAN
B.u_s_hilo,2048,64,50,250,1,1495997.0999999992
B.u_s_hilo,2048,64,50,250,2,[1274367.9]
B.u_s_hilo,2048,64,50,250,3,[1349021.7600000012]
B.u_s_hilo,2048,64,50,250,4,[1349021.7600000012]
B.u_s_hilo,2048,64,50,250,5,[1282141.4400000009]
B.u_s_hilo,2048,64,50,250,6,[1411802.5600000003]
B.u_s_hilo,2048,64,50,250,7,[1292812.520000001]
B.u_s_hilo,2048,64,50,250,8,[1320917.140000001]
B.u_s_hilo,2048,64,50,250,9,[1228718.8800000008]
B.u_s_hilo,2048,64,50,250,10,[1163553.3000000003]
B.u_s_hilo,2048,64,50,250,11,[1310496.2999999986]
B.u_s_hilo,2048,64,50,250,12,[1163553.3000000003]
B.u_s_hilo,2048,64,50,250,13,[1124184.8000000003]
B.u_s_hilo,2048,64,50,250,14,[1302071.5499999998]
B.u_s_hilo,2048,64,50,250,15,[1162680.5]
B.u_s_hilo,2048,64,50,250,16,[1173773.1600000008]
B.u_s_hilo,2048,64,50,250,17,[1080442.3500000006]
B.u_s_hilo,2048,64,50,250,18,[1109746.6800000006]
B.u_s_hilo,2048,64,50,250,19,[1208498.6600000006]
B.u_s_hilo,2048,64,50,250,20,[1124184.8000000003]
B.u_s_hilo,2048,64,50,250,21,[1162591.7600000007]
B.u_s_hilo,2048,64,50,250,22,[1108146.0000000005]
B.u_s_hilo,2048,64,50,250,23,[1080442.3500000006]
B.u_s_hilo,2048,64,50,250,24,[1069666.0599999996]
B.u_s_hilo,2048,64,50,250,25,[1108146.0000000005]
B.u_s_hilo,2048,64,50,250,26,[1213422.4999999988]
B.u_s_hilo,2048,64,50,250,27,[1071551.8000000003]
B.u_s_hilo,2048,64,50,250,28,[1055301.0000000005]
B.u_s_hilo,2048,64,50,250,29,[1067975.56]
B.u_s_hilo,2048,64,50,250,30,[1067975.56]
B.u_s_hilo,2048,64,50,250,31,[1140617.149999999]
B.u_s_hilo,2048,64,50,250,32,[1140617.149999999]
B.u_s_hilo,2048,64,50,250,33,[1152289.4200000004]
B.u_s_hilo,2048,64,50,250,34,[1021617.3800000007]
B.u_s_hilo,2048,64,50,250,35,[1095162.4800000007]
B.u_s_hilo,2048,64,50,250,36,[1067975.56]
B.u_s_hilo,2048,64,50,250,37,[1015028.6400000007]
B.u_s_hilo,2048,64,50,250,38,[1019274.8999999992]
B.u_s_hilo,2048,64,50,250,39,[1135849.6500000004]
B.u_s_hilo,2048,64,50,250,40,[988317.3600000007]
B.u_s_hilo,2048,64,50,250,41,[1018915.8200000012]
B.u_s_hilo,2048,64,50,250,42,[980106.820000001]
B.u_s_hilo,2048,64,50,250,43,[997331.4000000006]
B.u_s_hilo,2048,64,50,250,44,[1025035.0500000006]
B.u_s_hilo,2048,64,50,250,45,[1080442.3500000006]
B.u_s_hilo,2048,64,50,250,46,[1018915.8200000012]
B.u_s_hilo,2048,64,50,250,47,[1033142.5999999994]
B.u_s_hilo,2048,64,50,250,48,[1052738.7000000007]
B.u_s_hilo,2048,64,50,250,49,[1041739.9200000007]
B.u_s_hilo,2048,64,50,250,50,[1030479.0600000005]
B.u_s_hilo,2048,64,50,250,51,[961606.0800000007]
