FILE_NAME,NUM_JOBS,NUM_MACHINES,ITERATION_SIZE,POPULATION_SIZE,ITERATION,MAKESPAN
B.u_s_lohi,2048,64,250,50,1,5059319.339999996
B.u_s_lohi,2048,64,250,50,2,[4312673.9399999995]
B.u_s_lohi,2048,64,250,50,3,[4464105.299999997]
B.u_s_lohi,2048,64,250,50,4,[4464105.299999997]
B.u_s_lohi,2048,64,250,50,5,[4954987.079999996]
B.u_s_lohi,2048,64,250,50,6,[4166498.2799999975]
B.u_s_lohi,2048,64,250,50,7,[4265700.619999997]
B.u_s_lohi,2048,64,250,50,8,[4172955.1599999955]
B.u_s_lohi,2048,64,250,50,9,[3968093.5999999978]
B.u_s_lohi,2048,64,250,50,10,[3853878.8400000003]
B.u_s_lohi,2048,64,250,50,11,[3696235.4000000027]
B.u_s_lohi,2048,64,250,50,12,[3528224.7000000025]
B.u_s_lohi,2048,64,250,50,13,[3557871.7199999997]
B.u_s_lohi,2048,64,250,50,14,[3399839.5200000005]
B.u_s_lohi,2048,64,250,50,15,[4014009.1199999996]
B.u_s_lohi,2048,64,250,50,16,[3836832.890000001]
B.u_s_lohi,2048,64,250,50,17,[3285092.3599999975]
B.u_s_lohi,2048,64,250,50,18,[3275345.150000001]
B.u_s_lohi,2048,64,250,50,19,[3486842.7600000002]
B.u_s_lohi,2048,64,250,50,20,[3211565.7]
B.u_s_lohi,2048,64,250,50,21,[3192203.300000002]
B.u_s_lohi,2048,64,250,50,22,[3556089.020000001]
B.u_s_lohi,2048,64,250,50,23,[3174474.879999999]
B.u_s_lohi,2048,64,250,50,24,[3075272.539999999]
B.u_s_lohi,2048,64,250,50,25,[3275345.150000001]
B.u_s_lohi,2048,64,250,50,26,[3214412.25]
B.u_s_lohi,2048,64,250,50,27,[3108197.950000002]
B.u_s_lohi,2048,64,250,50,28,[3373878.6399999973]
B.u_s_lohi,2048,64,250,50,29,[3617210.0000000033]
B.u_s_lohi,2048,64,250,50,30,[3024192.600000002]
B.u_s_lohi,2048,64,250,50,31,[3088182.5700000008]
B.u_s_lohi,2048,64,250,50,32,[2821423.800000001]
B.u_s_lohi,2048,64,250,50,33,[3018733.519999998]
B.u_s_lohi,2048,64,250,50,34,[2929947.2399999984]
B.u_s_lohi,2048,64,250,50,35,[2929947.2399999984]
B.u_s_lohi,2048,64,250,50,36,[2676735.400000001]
B.u_s_lohi,2048,64,250,50,37,[3146020.5]
B.u_s_lohi,2048,64,250,50,38,[3192203.300000002]
B.u_s_lohi,2048,64,250,50,39,[2856181.900000002]
B.u_s_lohi,2048,64,250,50,40,[2929947.2399999984]
B.u_s_lohi,2048,64,250,50,41,[2752374.679999999]
B.u_s_lohi,2048,64,250,50,42,[2752374.679999999]
B.u_s_lohi,2048,64,250,50,43,[2713857.4100000006]
B.u_s_lohi,2048,64,250,50,44,[2841160.9599999986]
B.u_s_lohi,2048,64,250,50,45,[2841160.9599999986]
B.u_s_lohi,2048,64,250,50,46,[2772176.5500000017]
B.u_s_lohi,2048,64,250,50,47,[2688171.2000000016]
B.u_s_lohi,2048,64,250,50,48,[3067596.400000001]
B.u_s_lohi,2048,64,250,50,49,[2777665.5199999996]
B.u_s_lohi,2048,64,250,50,50,[2821423.800000001]
B.u_s_lohi,2048,64,250,50,51,[2663588.399999999]
B.u_s_lohi,2048,64,250,50,52,[2678463.1799999997]
B.u_s_lohi,2048,64,250,50,53,[3018733.519999998]
B.u_s_lohi,2048,64,250,50,54,[3108197.950000002]
B.u_s_lohi,2048,64,250,50,55,[3075272.539999999]
B.u_s_lohi,2048,64,250,50,56,[2752374.679999999]
B.u_s_lohi,2048,64,250,50,57,[2486015.8399999994]
B.u_s_lohi,2048,64,250,50,58,[2599877.2800000003]
B.u_s_lohi,2048,64,250,50,59,[2554369.44]
B.u_s_lohi,2048,64,250,50,60,[2499459.7100000004]
B.u_s_lohi,2048,64,250,50,61,[2667278.25]
B.u_s_lohi,2048,64,250,50,62,[2604391.2000000007]
B.u_s_lohi,2048,64,250,50,63,[2459702.8000000003]
B.u_s_lohi,2048,64,250,50,64,[2940187.250000002]
B.u_s_lohi,2048,64,250,50,65,[2678463.1799999997]
B.u_s_lohi,2048,64,250,50,66,[2893768.0000000014]
B.u_s_lohi,2048,64,250,50,67,[2459702.8000000003]
B.u_s_lohi,2048,64,250,50,68,[2807438.7000000007]
B.u_s_lohi,2048,64,250,50,69,[2520160.5000000014]
B.u_s_lohi,2048,64,250,50,70,[2593716.030000001]
B.u_s_lohi,2048,64,250,50,71,[2604391.2000000007]
B.u_s_lohi,2048,64,250,50,72,[2661011.58]
B.u_s_lohi,2048,64,250,50,73,[2548212.240000001]
B.u_s_lohi,2048,64,250,50,74,[2339532.2500000005]
B.u_s_lohi,2048,64,250,50,75,[2526694.8300000005]
B.u_s_lohi,2048,64,250,50,76,[2645596.92]
B.u_s_lohi,2048,64,250,50,77,[2430837.9900000016]
B.u_s_lohi,2048,64,250,50,78,[2607456.94]
B.u_s_lohi,2048,64,250,50,79,[2579260.84]
B.u_s_lohi,2048,64,250,50,80,[2436155.1500000013]
B.u_s_lohi,2048,64,250,50,81,[2436155.1500000013]
B.u_s_lohi,2048,64,250,50,82,[2325319.5]
B.u_s_lohi,2048,64,250,50,83,[2280687.0]
B.u_s_lohi,2048,64,250,50,84,[2333223.2]
B.u_s_lohi,2048,64,250,50,85,[2454077.1199999996]
B.u_s_lohi,2048,64,250,50,86,[2352149.800000001]
B.u_s_lohi,2048,64,250,50,87,[2397229.5599999996]
B.u_s_lohi,2048,64,250,50,88,[2352149.800000001]
B.u_s_lohi,2048,64,250,50,89,[2393711.25]
B.u_s_lohi,2048,64,250,50,90,[2520160.5000000014]
B.u_s_lohi,2048,64,250,50,91,[2374682.8499999996]
B.u_s_lohi,2048,64,250,50,92,[2478501.480000002]
B.u_s_lohi,2048,64,250,50,93,[2344417.6200000006]
B.u_s_lohi,2048,64,250,50,94,[2184139.100000001]
B.u_s_lohi,2048,64,250,50,95,[2398938.9600000004]
B.u_s_lohi,2048,64,250,50,96,[2397229.5599999996]
B.u_s_lohi,2048,64,250,50,97,[2199896.16]
B.u_s_lohi,2048,64,250,50,98,[2300697.2999999993]
B.u_s_lohi,2048,64,250,50,99,[2293975.5]
B.u_s_lohi,2048,64,250,50,100,[2163599.9299999997]
B.u_s_lohi,2048,64,250,50,101,[2242670.1999999997]
B.u_s_lohi,2048,64,250,50,102,[2184181.920000001]
B.u_s_lohi,2048,64,250,50,103,[2266951.8299999996]
B.u_s_lohi,2048,64,250,50,104,[2152369.6700000004]
B.u_s_lohi,2048,64,250,50,105,[2091778.5000000014]
B.u_s_lohi,2048,64,250,50,106,[2163599.9299999997]
B.u_s_lohi,2048,64,250,50,107,[2177655.199999998]
B.u_s_lohi,2048,64,250,50,108,[2058788.3800000006]
B.u_s_lohi,2048,64,250,50,109,[2047670.550000001]
B.u_s_lohi,2048,64,250,50,110,[2032013.4000000013]
B.u_s_lohi,2048,64,250,50,111,[2147317.479999999]
B.u_s_lohi,2048,64,250,50,112,[2138678.130000001]
B.u_s_lohi,2048,64,250,50,113,[2170325.9999999995]
B.u_s_lohi,2048,64,250,50,114,[2151543.6000000015]
B.u_s_lohi,2048,64,250,50,115,[2216370.6599999997]
B.u_s_lohi,2048,64,250,50,116,[2051752.5]
B.u_s_lohi,2048,64,250,50,117,[2120144.25]
B.u_s_lohi,2048,64,250,50,118,[2123213.819999998]
B.u_s_lohi,2048,64,250,50,119,[2068772.4399999978]
B.u_s_lohi,2048,64,250,50,120,[2070627.5699999991]
B.u_s_lohi,2048,64,250,50,121,[1999905.6000000003]
B.u_s_lohi,2048,64,250,50,122,[2120144.25]
B.u_s_lohi,2048,64,250,50,123,[2007004.5599999998]
B.u_s_lohi,2048,64,250,50,124,[2170325.9999999995]
B.u_s_lohi,2048,64,250,50,125,[2083249.1400000006]
B.u_s_lohi,2048,64,250,50,126,[2120144.25]
B.u_s_lohi,2048,64,250,50,127,[2066569.1200000003]
B.u_s_lohi,2048,64,250,50,128,[2007004.5599999998]
B.u_s_lohi,2048,64,250,50,129,[2189459.52]
B.u_s_lohi,2048,64,250,50,130,[2120144.25]
B.u_s_lohi,2048,64,250,50,131,[1999905.6000000003]
B.u_s_lohi,2048,64,250,50,132,[2051752.5]
B.u_s_lohi,2048,64,250,50,133,[2007004.5599999998]
B.u_s_lohi,2048,64,250,50,134,[1956662.970000001]
B.u_s_lohi,2048,64,250,50,135,[2007004.5599999998]
B.u_s_lohi,2048,64,250,50,136,[2051752.5]
B.u_s_lohi,2048,64,250,50,137,[1824549.5999999999]
B.u_s_lohi,2048,64,250,50,138,[1917247.7499999993]
B.u_s_lohi,2048,64,250,50,139,[2083249.1400000006]
B.u_s_lohi,2048,64,250,50,140,[2120144.25]
B.u_s_lohi,2048,64,250,50,141,[1980093.4600000002]
B.u_s_lohi,2048,64,250,50,142,[1848117.7000000007]
B.u_s_lohi,2048,64,250,50,143,[1953298.1600000004]
B.u_s_lohi,2048,64,250,50,144,[2007004.5599999998]
B.u_s_lohi,2048,64,250,50,145,[1983360.75]
B.u_s_lohi,2048,64,250,50,146,[1866578.5600000003]
B.u_s_lohi,2048,64,250,50,147,[1914969.0]
B.u_s_lohi,2048,64,250,50,148,[1915777.0799999998]
B.u_s_lohi,2048,64,250,50,149,[1905448.2999999982]
B.u_s_lohi,2048,64,250,50,150,[1864511.8800000004]
B.u_s_lohi,2048,64,250,50,151,[1952517.0099999995]
B.u_s_lohi,2048,64,250,50,152,[1915777.0799999998]
B.u_s_lohi,2048,64,250,50,153,[1792953.000000001]
B.u_s_lohi,2048,64,250,50,154,[1894002.4400000002]
B.u_s_lohi,2048,64,250,50,155,[1984046.8000000005]
B.u_s_lohi,2048,64,250,50,156,[1864511.8800000004]
B.u_s_lohi,2048,64,250,50,157,[1801936.0699999994]
B.u_s_lohi,2048,64,250,50,158,[1965207.0900000005]
B.u_s_lohi,2048,64,250,50,159,[2042084.4400000004]
B.u_s_lohi,2048,64,250,50,160,[1801936.0699999994]
B.u_s_lohi,2048,64,250,50,161,[1884844.4600000004]
B.u_s_lohi,2048,64,250,50,162,[1866578.5600000003]
B.u_s_lohi,2048,64,250,50,163,[1956662.970000001]
B.u_s_lohi,2048,64,250,50,164,[1933242.0800000003]
B.u_s_lohi,2048,64,250,50,165,[1799915.0400000003]
B.u_s_lohi,2048,64,250,50,166,[1763549.13]
B.u_s_lohi,2048,64,250,50,167,[1866578.5600000003]
B.u_s_lohi,2048,64,250,50,168,[1871625.8000000005]
B.u_s_lohi,2048,64,250,50,169,[1778044.5100000005]
B.u_s_lohi,2048,64,250,50,170,[1871625.8000000005]
B.u_s_lohi,2048,64,250,50,171,[1905448.2999999982]
B.u_s_lohi,2048,64,250,50,172,[1778185.5]
B.u_s_lohi,2048,64,250,50,173,[1799915.0400000003]
B.u_s_lohi,2048,64,250,50,174,[1824549.5999999999]
B.u_s_lohi,2048,64,250,50,175,[1778185.5]
B.u_s_lohi,2048,64,250,50,176,[1866578.5600000003]
B.u_s_lohi,2048,64,250,50,177,[1686939.3200000003]
B.u_s_lohi,2048,64,250,50,178,[1820151.6000000008]
B.u_s_lohi,2048,64,250,50,179,[1808604.9999999993]
B.u_s_lohi,2048,64,250,50,180,[1736260.7999999993]
B.u_s_lohi,2048,64,250,50,181,[1799238.1500000006]
B.u_s_lohi,2048,64,250,50,182,[1785642.1200000003]
B.u_s_lohi,2048,64,250,50,183,[1858876.1099999999]
B.u_s_lohi,2048,64,250,50,184,[1763867.9299999995]
B.u_s_lohi,2048,64,250,50,185,[1933242.0800000003]
B.u_s_lohi,2048,64,250,50,186,[1729144.0200000007]
B.u_s_lohi,2048,64,250,50,187,[1799238.1500000006]
B.u_s_lohi,2048,64,250,50,188,[1733251.5200000003]
B.u_s_lohi,2048,64,250,50,189,[1775725.6000000003]
B.u_s_lohi,2048,64,250,50,190,[1733322.1199999999]
B.u_s_lohi,2048,64,250,50,191,[1871625.8000000005]
B.u_s_lohi,2048,64,250,50,192,[1709793.75]
B.u_s_lohi,2048,64,250,50,193,[1743861.0400000007]
B.u_s_lohi,2048,64,250,50,194,[1915777.0799999998]
B.u_s_lohi,2048,64,250,50,195,[1686939.3200000003]
B.u_s_lohi,2048,64,250,50,196,[1729144.0200000007]
B.u_s_lohi,2048,64,250,50,197,[1778044.5100000005]
B.u_s_lohi,2048,64,250,50,198,[1599924.4800000002]
B.u_s_lohi,2048,64,250,50,199,[1683640.2300000007]
B.u_s_lohi,2048,64,250,50,200,[1686439.7800000003]
B.u_s_lohi,2048,64,250,50,201,[1733322.1199999999]
B.u_s_lohi,2048,64,250,50,202,[1668222.15]
B.u_s_lohi,2048,64,250,50,203,[1686939.3200000003]
B.u_s_lohi,2048,64,250,50,204,[1663916.5999999994]
B.u_s_lohi,2048,64,250,50,205,[1733322.1199999999]
B.u_s_lohi,2048,64,250,50,206,[1742124.1599999985]
B.u_s_lohi,2048,64,250,50,207,[1684463.2200000004]
B.u_s_lohi,2048,64,250,50,208,[1763549.13]
B.u_s_lohi,2048,64,250,50,209,[1686439.7800000003]
B.u_s_lohi,2048,64,250,50,210,[1744682.8800000006]
B.u_s_lohi,2048,64,250,50,211,[1641402.0]
B.u_s_lohi,2048,64,250,50,212,[1620558.66]
B.u_s_lohi,2048,64,250,50,213,[1666588.0000000002]
