FILE_NAME,NUM_JOBS,NUM_MACHINES,ITERATION_SIZE,POPULATION_SIZE,ITERATION,MAKESPAN
A.u_i_lohi,1024,32,500,500,1,39811.52000000001
A.u_i_lohi,1024,32,500,500,2,[37374.08]
A.u_i_lohi,1024,32,500,500,3,[35277.499999999985]
A.u_i_lohi,1024,32,500,500,4,[34936.63999999999]
A.u_i_lohi,1024,32,500,500,5,[32499.199999999986]
A.u_i_lohi,1024,32,500,500,6,[31749.749999999978]
A.u_i_lohi,1024,32,500,500,7,[32499.199999999986]
A.u_i_lohi,1024,32,500,500,8,[31686.719999999987]
A.u_i_lohi,1024,32,500,500,9,[29436.099999999977]
A.u_i_lohi,1024,32,500,500,10,[31044.19999999998]
A.u_i_lohi,1024,32,500,500,11,[28553.579999999984]
A.u_i_lohi,1024,32,500,500,12,[27932.849999999984]
A.u_i_lohi,1024,32,500,500,13,[26850.49000000001]
A.u_i_lohi,1024,32,500,500,14,[27312.119999999984]
A.u_i_lohi,1024,32,500,500,15,[28553.579999999984]
A.u_i_lohi,1024,32,500,500,16,[26930.89999999998]
A.u_i_lohi,1024,32,500,500,17,[26930.89999999998]
A.u_i_lohi,1024,32,500,500,18,[27624.31999999999]
A.u_i_lohi,1024,32,500,500,19,[27474.92000000001]
A.u_i_lohi,1024,32,500,500,20,[26304.59999999998]
A.u_i_lohi,1024,32,500,500,21,[26810.899999999983]
A.u_i_lohi,1024,32,500,500,22,[26850.49000000001]
A.u_i_lohi,1024,32,500,500,23,[26930.89999999998]
A.u_i_lohi,1024,32,500,500,24,[25399.799999999985]
A.u_i_lohi,1024,32,500,500,25,[24694.249999999985]
A.u_i_lohi,1024,32,500,500,26,[23103.910000000007]
A.u_i_lohi,1024,32,500,500,27,[23561.91999999999]
A.u_i_lohi,1024,32,500,500,28,[24829.199999999986]
A.u_i_lohi,1024,32,500,500,29,[23728.340000000007]
A.u_i_lohi,1024,32,500,500,30,[23561.91999999999]
A.u_i_lohi,1024,32,500,500,31,[22749.43999999999]
A.u_i_lohi,1024,32,500,500,32,[23173.099999999984]
A.u_i_lohi,1024,32,500,500,33,[23561.91999999999]
A.u_i_lohi,1024,32,500,500,34,[22967.009999999987]
A.u_i_lohi,1024,32,500,500,35,[21872.04999999999]
A.u_i_lohi,1024,32,500,500,36,[23728.340000000007]
A.u_i_lohi,1024,32,500,500,37,[25399.799999999985]
A.u_i_lohi,1024,32,500,500,38,[21124.479999999992]
A.u_i_lohi,1024,32,500,500,39,[20460.94999999999]
A.u_i_lohi,1024,32,500,500,40,[20484.08999999999]
A.u_i_lohi,1024,32,500,500,41,[21936.959999999992]
A.u_i_lohi,1024,32,500,500,42,[21920.499999999985]
A.u_i_lohi,1024,32,500,500,43,[22577.599999999988]
A.u_i_lohi,1024,32,500,500,44,[23561.91999999999]
A.u_i_lohi,1024,32,500,500,45,[23173.099999999984]
A.u_i_lohi,1024,32,500,500,46,[21124.479999999992]
A.u_i_lohi,1024,32,500,500,47,[19868.519999999986]
A.u_i_lohi,1024,32,500,500,48,[21166.49999999999]
A.u_i_lohi,1024,32,500,500,49,[19049.84999999999]
A.u_i_lohi,1024,32,500,500,50,[20311.999999999993]
A.u_i_lohi,1024,32,500,500,51,[19057.559999999987]
A.u_i_lohi,1024,32,500,500,52,[19069.050000000014]
A.u_i_lohi,1024,32,500,500,53,[19357.330000000005]
A.u_i_lohi,1024,32,500,500,54,[21294.199999999986]
A.u_i_lohi,1024,32,500,500,55,[21872.04999999999]
A.u_i_lohi,1024,32,500,500,56,[19057.559999999987]
A.u_i_lohi,1024,32,500,500,57,[19755.39999999999]
A.u_i_lohi,1024,32,500,500,58,[18344.299999999992]
A.u_i_lohi,1024,32,500,500,59,[19345.5]
A.u_i_lohi,1024,32,500,500,60,[20535.900000000016]
A.u_i_lohi,1024,32,500,500,61,[19981.760000000006]
A.u_i_lohi,1024,32,500,500,62,[19755.39999999999]
A.u_i_lohi,1024,32,500,500,63,[20041.599999999988]
A.u_i_lohi,1024,32,500,500,64,[19463.039999999986]
A.u_i_lohi,1024,32,500,500,65,[19981.760000000006]
A.u_i_lohi,1024,32,500,500,66,[19228.0]
A.u_i_lohi,1024,32,500,500,67,[19755.39999999999]
A.u_i_lohi,1024,32,500,500,68,[18108.470000000005]
A.u_i_lohi,1024,32,500,500,69,[20667.899999999987]
A.u_i_lohi,1024,32,500,500,70,[18344.299999999992]
A.u_i_lohi,1024,32,500,500,71,[18788.99999999999]
A.u_i_lohi,1024,32,500,500,72,[17841.119999999988]
