FILE_NAME,NUM_JOBS,NUM_MACHINES,ITERATION_SIZE,POPULATION_SIZE,ITERATION,MAKESPAN
B.u_s_hihi,2048,64,250,50,1,145417165.25
B.u_s_hihi,2048,64,250,50,2,[132111252.0]
B.u_s_hihi,2048,64,250,50,3,[131505817.5]
B.u_s_hihi,2048,64,250,50,4,[144472102.25]
B.u_s_hihi,2048,64,250,50,5,[127129725.0]
B.u_s_hihi,2048,64,250,50,6,[132111252.0]
B.u_s_hihi,2048,64,250,50,7,[109804798.25]
B.u_s_hihi,2048,64,250,50,8,[127610981.75]
B.u_s_hihi,2048,64,250,50,9,[121327312.5]
B.u_s_hihi,2048,64,250,50,10,[129039982.0]
B.u_s_hihi,2048,64,250,50,11,[115740192.75]
B.u_s_hihi,2048,64,250,50,12,[127610981.75]
B.u_s_hihi,2048,64,250,50,13,[124643284.5]
B.u_s_hihi,2048,64,250,50,14,[115740192.75]
B.u_s_hihi,2048,64,250,50,15,[135626871.5]
B.u_s_hihi,2048,64,250,50,16,[112488348.0]
B.u_s_hihi,2048,64,250,50,17,[127129725.0]
B.u_s_hihi,2048,64,250,50,18,[115740192.75]
B.u_s_hihi,2048,64,250,50,19,[103305117.0]
B.u_s_hihi,2048,64,250,50,20,[111129280.08000007]
B.u_s_hihi,2048,64,250,50,21,[117844936.0]
B.u_s_hihi,2048,64,250,50,22,[122738763.0]
B.u_s_hihi,2048,64,250,50,23,[109804798.25]
B.u_s_hihi,2048,64,250,50,24,[107131760.0]
B.u_s_hihi,2048,64,250,50,25,[101775172.0]
B.u_s_hihi,2048,64,250,50,26,[113971708.5]
B.u_s_hihi,2048,64,250,50,27,[115166642.0]
B.u_s_hihi,2048,64,250,50,28,[103869403.75]
B.u_s_hihi,2048,64,250,50,29,[108127005.5]
B.u_s_hihi,2048,64,250,50,30,[110864028.0]
B.u_s_hihi,2048,64,250,50,31,[109804798.25]
B.u_s_hihi,2048,64,250,50,32,[105204654.0]
B.u_s_hihi,2048,64,250,50,33,[100456185.12000005]
B.u_s_hihi,2048,64,250,50,34,[103902319.5]
B.u_s_hihi,2048,64,250,50,35,[101914942.5]
B.u_s_hihi,2048,64,250,50,36,[99359951.0]
B.u_s_hihi,2048,64,250,50,37,[93515248.0]
B.u_s_hihi,2048,64,250,50,38,[94006860.5]
B.u_s_hihi,2048,64,250,50,39,[93515248.0]
B.u_s_hihi,2048,64,250,50,40,[107131760.0]
B.u_s_hihi,2048,64,250,50,41,[97297538.25]
B.u_s_hihi,2048,64,250,50,42,[96418584.0]
B.u_s_hihi,2048,64,250,50,43,[98954590.0]
B.u_s_hihi,2048,64,250,50,44,[101428454.75]
B.u_s_hihi,2048,64,250,50,45,[96919911.61999996]
B.u_s_hihi,2048,64,250,50,46,[101775172.0]
B.u_s_hihi,2048,64,250,50,47,[96618591.0]
B.u_s_hihi,2048,64,250,50,48,[93578803.5]
B.u_s_hihi,2048,64,250,50,49,[91532995.75]
B.u_s_hihi,2048,64,250,50,50,[98954590.0]
B.u_s_hihi,2048,64,250,50,51,[114416752.5]
B.u_s_hihi,2048,64,250,50,52,[88990807.5]
B.u_s_hihi,2048,64,250,50,53,[90826485.75]
B.u_s_hihi,2048,64,250,50,54,[93578803.5]
B.u_s_hihi,2048,64,250,50,55,[93578803.5]
B.u_s_hihi,2048,64,250,50,56,[92925578.5]
B.u_s_hihi,2048,64,250,50,57,[87355665.0]
B.u_s_hihi,2048,64,250,50,58,[88990807.5]
B.u_s_hihi,2048,64,250,50,59,[92925578.5]
B.u_s_hihi,2048,64,250,50,60,[96331121.25]
B.u_s_hihi,2048,64,250,50,61,[96418584.0]
B.u_s_hihi,2048,64,250,50,62,[93226569.0]
B.u_s_hihi,2048,64,250,50,63,[85503897.25]
B.u_s_hihi,2048,64,250,50,64,[85705408.0]
B.u_s_hihi,2048,64,250,50,65,[88074168.0]
B.u_s_hihi,2048,64,250,50,66,[90192473.25]
B.u_s_hihi,2048,64,250,50,67,[82569532.5]
B.u_s_hihi,2048,64,250,50,68,[85667658.0]
B.u_s_hihi,2048,64,250,50,69,[83027114.0]
