FILE_NAME,NUM_JOBS,NUM_MACHINES,ITERATION_SIZE,POPULATION_SIZE,ITERATION,MAKESPAN
u_c_hilo.0,512,16,100,5,1,1172417.8125
u_c_hilo.0,512,16,100,5,2,[852667.5]
u_c_hilo.0,512,16,100,5,3,[837461.9531199991]
u_c_hilo.0,512,16,100,5,4,[816525.4042919992]
u_c_hilo.0,512,16,100,5,5,[826021.640625]
u_c_hilo.0,512,16,100,5,6,[828906.914082]
u_c_hilo.0,512,16,100,5,7,[826021.640625]
u_c_hilo.0,512,16,100,5,8,[818206.7714789992]
u_c_hilo.0,512,16,100,5,9,[798186.8398559991]
u_c_hilo.0,512,16,100,5,10,[772271.4257700004]
u_c_hilo.0,512,16,100,5,11,[786398.867206]
u_c_hilo.0,512,16,100,5,12,[746529.0449110004]
u_c_hilo.0,512,16,100,5,13,[742094.5136669993]
u_c_hilo.0,512,16,100,5,14,[746669.1992139993]
u_c_hilo.0,512,16,100,5,15,[727020.0097609994]
u_c_hilo.0,512,16,100,5,16,[746529.0449110004]
u_c_hilo.0,512,16,100,5,17,[746529.0449110004]
u_c_hilo.0,512,16,100,5,18,[746669.1992139993]
u_c_hilo.0,512,16,100,5,19,[746529.0449110004]
u_c_hilo.0,512,16,100,5,20,[742094.5136669993]
u_c_hilo.0,512,16,100,5,21,[746529.0449110004]
u_c_hilo.0,512,16,100,5,22,[746669.1992139993]
u_c_hilo.0,512,16,100,5,23,[727020.0097609994]
u_c_hilo.0,512,16,100,5,24,[727020.0097609994]
u_c_hilo.0,512,16,100,5,25,[746529.0449110004]
u_c_hilo.0,512,16,100,5,26,[746529.0449110004]
u_c_hilo.0,512,16,100,5,27,[746529.0449110004]
u_c_hilo.0,512,16,100,5,28,[766318.3886669993]
u_c_hilo.0,512,16,100,5,29,[742094.5136669993]
u_c_hilo.0,512,16,100,5,30,[727020.0097609994]
u_c_hilo.0,512,16,100,5,31,[727020.0097609994]
u_c_hilo.0,512,16,100,5,32,[723066.4492139993]
u_c_hilo.0,512,16,100,5,33,[716739.2031359994]
u_c_hilo.0,512,16,100,5,34,[716739.2031359994]
u_c_hilo.0,512,16,100,5,35,[716739.2031359994]
u_c_hilo.0,512,16,100,5,36,[707370.8203079994]
u_c_hilo.0,512,16,100,5,37,[707370.8203079994]
u_c_hilo.0,512,16,100,5,38,[701382.773454]
u_c_hilo.0,512,16,100,5,39,[701382.773454]
u_c_hilo.0,512,16,100,5,40,[700449.6757919994]
u_c_hilo.0,512,16,100,5,41,[700449.6757919994]
