FILE_NAME,NUM_JOBS,NUM_MACHINES,ITERATION_SIZE,POPULATION_SIZE,ITERATION,MAKESPAN
u_c_hihi.0,512,16,100,100,1,149066271.0
u_c_hihi.0,512,16,100,100,2,[115940433.0]
u_c_hihi.0,512,16,100,100,3,[101382719.25]
u_c_hihi.0,512,16,100,100,4,[102507710.0]
u_c_hihi.0,512,16,100,100,5,[107633095.5]
u_c_hihi.0,512,16,100,100,6,[113179946.5]
u_c_hihi.0,512,16,100,100,7,[107633095.5]
u_c_hihi.0,512,16,100,100,8,[96617027.5]
u_c_hihi.0,512,16,100,100,9,[107658973.5]
u_c_hihi.0,512,16,100,100,10,[103261829.0]
u_c_hihi.0,512,16,100,100,11,[97382324.5]
u_c_hihi.0,512,16,100,100,12,[108800967.0]
u_c_hihi.0,512,16,100,100,13,[98568109.5]
u_c_hihi.0,512,16,100,100,14,[88335568.0]
u_c_hihi.0,512,16,100,100,15,[105070402.75]
u_c_hihi.0,512,16,100,100,16,[101382719.25]
u_c_hihi.0,512,16,100,100,17,[94684537.5]
u_c_hihi.0,512,16,100,100,18,[93856541.0]
u_c_hihi.0,512,16,100,100,19,[99377514.0]
u_c_hihi.0,512,16,100,100,20,[88335568.0]
u_c_hihi.0,512,16,100,100,21,[89694246.25]
u_c_hihi.0,512,16,100,100,22,[87651936.375]
u_c_hihi.0,512,16,100,100,23,[86955187.5]
u_c_hihi.0,512,16,100,100,24,[81600725.25]
u_c_hihi.0,512,16,100,100,25,[84486951.0]
u_c_hihi.0,512,16,100,100,26,[91096054.5]
u_c_hihi.0,512,16,100,100,27,[86546223.75]
u_c_hihi.0,512,16,100,100,28,[89180670.5]
u_c_hihi.0,512,16,100,100,29,[86546223.75]
u_c_hihi.0,512,16,100,100,30,[81600725.25]
u_c_hihi.0,512,16,100,100,31,[86546223.75]
u_c_hihi.0,512,16,100,100,32,[82814595.0]
u_c_hihi.0,512,16,100,100,33,[82814595.0]
u_c_hihi.0,512,16,100,100,34,[77459850.75]
u_c_hihi.0,512,16,100,100,35,[81600725.25]
u_c_hihi.0,512,16,100,100,36,[77459850.75]
u_c_hihi.0,512,16,100,100,37,[77293500.0]
u_c_hihi.0,512,16,100,100,38,[89180670.5]
u_c_hihi.0,512,16,100,100,39,[84073474.5]
u_c_hihi.0,512,16,100,100,40,[75721737.0]
u_c_hihi.0,512,16,100,100,41,[71344599.375]
u_c_hihi.0,512,16,100,100,42,[81600725.25]
u_c_hihi.0,512,16,100,100,43,[74182477.5]
u_c_hihi.0,512,16,100,100,44,[79443475.25]
u_c_hihi.0,512,16,100,100,45,[79604903.0]
u_c_hihi.0,512,16,100,100,46,[75721737.0]
u_c_hihi.0,512,16,100,100,47,[76655226.75]
u_c_hihi.0,512,16,100,100,48,[77293622.0]
u_c_hihi.0,512,16,100,100,49,[75099512.0]
u_c_hihi.0,512,16,100,100,50,[69236979.0]
u_c_hihi.0,512,16,100,100,51,[74533135.5]
u_c_hihi.0,512,16,100,100,52,[83090512.5]
u_c_hihi.0,512,16,100,100,53,[69236979.0]
u_c_hihi.0,512,16,100,100,54,[71278263.0]
u_c_hihi.0,512,16,100,100,55,[67955405.0]
u_c_hihi.0,512,16,100,100,56,[77293622.0]
u_c_hihi.0,512,16,100,100,57,[74533135.5]
u_c_hihi.0,512,16,100,100,58,[71496487.5]
u_c_hihi.0,512,16,100,100,59,[76655226.75]
u_c_hihi.0,512,16,100,100,60,[68058932.75]
u_c_hihi.0,512,16,100,100,61,[71709728.25]
u_c_hihi.0,512,16,100,100,62,[74182477.5]
u_c_hihi.0,512,16,100,100,63,[64291480.5]
u_c_hihi.0,512,16,100,100,64,[69896988.0]
u_c_hihi.0,512,16,100,100,65,[66764229.75]
u_c_hihi.0,512,16,100,100,66,[64291480.5]
u_c_hihi.0,512,16,100,100,67,[71772649.0]
u_c_hihi.0,512,16,100,100,68,[68058932.75]
u_c_hihi.0,512,16,100,100,69,[71772649.0]
u_c_hihi.0,512,16,100,100,70,[70005436.875]
u_c_hihi.0,512,16,100,100,71,[71344599.375]
u_c_hihi.0,512,16,100,100,72,[65229527.0]
u_c_hihi.0,512,16,100,100,73,[64291480.5]
u_c_hihi.0,512,16,100,100,74,[65712073.0]
u_c_hihi.0,512,16,100,100,75,[71709728.25]
u_c_hihi.0,512,16,100,100,76,[69192704.25]
u_c_hihi.0,512,16,100,100,77,[66630011.5]
u_c_hihi.0,512,16,100,100,78,[67955405.0]
u_c_hihi.0,512,16,100,100,79,[60189073.0]
u_c_hihi.0,512,16,100,100,80,[65229348.0]
u_c_hihi.0,512,16,100,100,81,[67267765.125]
u_c_hihi.0,512,16,100,100,82,[75361162.5]
u_c_hihi.0,512,16,100,100,83,[60730703.0]
u_c_hihi.0,512,16,100,100,84,[66764229.75]
u_c_hihi.0,512,16,100,100,85,[63747037.75]
u_c_hihi.0,512,16,100,100,86,[74182477.5]
u_c_hihi.0,512,16,100,100,87,[65229348.0]
u_c_hihi.0,512,16,100,100,88,[59299570.0]
u_c_hihi.0,512,16,100,100,89,[73383016.5]
u_c_hihi.0,512,16,100,100,90,[60730703.0]
u_c_hihi.0,512,16,100,100,91,[66251676.0]
u_c_hihi.0,512,16,100,100,92,[65229348.0]
u_c_hihi.0,512,16,100,100,93,[66013822.0]
u_c_hihi.0,512,16,100,100,94,[57970216.5]
u_c_hihi.0,512,16,100,100,95,[65712073.0]
u_c_hihi.0,512,16,100,100,96,[59114096.625]
u_c_hihi.0,512,16,100,100,97,[61018353.5]
u_c_hihi.0,512,16,100,100,98,[59299570.0]
u_c_hihi.0,512,16,100,100,99,[61504626.0]
u_c_hihi.0,512,16,100,100,100,[63491189.5]
u_c_hihi.0,512,16,100,100,101,[61504626.0]
